name,reg,year,month,nl_count_0,nl_count_4,nl_min_0,nl_min_4,nl_max_0,nl_max_4,nl_mean_0,nl_mean_4,nl_sum_0,nl_sum_4,nl_nodata_0,nl_nodata_4,nl_median_0,nl_median_4,nl_std_0,nl_std_4,tw_count,tw_n_settlements,Labor_index,Unemployment_index,Investment_index,Loan_index,Economy_index,Interest_rate_index,Inflation_index,Bankruptcy_index,Export_index,Mortgage_loan_index,Baggage_index,Holiday_index,BMW_index,Mercedes_index,McDonalds_index,Calvin_Klein_index,Gucci_index,Emigration_index,Washing_machine_index,Fridge_index,Sony_index,apple_index,Fitness_index,Recruitment_index,Travel_index,Savings_index,Computer_security_index,Unemployment_benefits_index,Fashion_index,MBA_degree_index,area_sq_km
Donetska,UA_14,2012,6,120526,120526,0,0,3223,11786,9.7404461,12.225404,1173977,1473479,63549,63549,0,5,47.049088,68.375587,11841,49,26,18,20,3,23,0,23,13,30,9,77,13,25,56,48,28,12,13,30,35,45,48,33,12,78,3,27,24,47,3,26499.604
Ivano-Frankivska,UA_26,2012,6,4127,4127,0,0,140,127,1.9156772,5.5737824,7906,23003,93923,93923,0,6,5.1513715,5.7677631,263,88,17,0,5,4,25,0,4,7,14,7,0,7,28,43,7,7,26,6,18,24,12,40,31,0,39,29,27,0,31,0,13933.037
Kharkivska,UA_63,2012,6,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0,0,0,6963,37,40,9,17,2,24,21,8,21,35,23,26,12,30,31,35,45,15,14,44,66,52,49,33,9,44,30,27,5,42,27,31434.879
Khersonska,UA_65,2012,6,174575,174575,0,0,418,556,1.9768523,5.0340428,345109,878818,5946,5946,0,5,10.104067,11.525235,868,40,7,0,23,0,24,0,6,0,19,0,19,11,19,59,27,31,0,0,56,58,37,51,21,0,34,0,18,0,21,0,26656.969
Khmelnytska,UA_68,2012,6,0,0,0,0,0,0,0,0,0,0,147523,147523,0,0,0,0,134,19,3,34,7,0,7,97,65,0,0,35,60,6,6,5,2,1,18,0,40,9,65,6,52,0,16,24,51,0,37,0,20627.613
Kirovohradska,UA_35,2012,6,23457,23457,0,0,677,677,3.5299911,5.811101,82803,136311,148714,148714,0,5,16.04438,15.866498,316,50,22,20,7,8,17,12,11,6,0,0,37,13,35,25,38,11,11,38,16,45,52,45,14,0,18,0,20,43,31,0,24577.918
Krym,UA_43,2012,6,168449,168449,0,0,3195,2917,3.6402116,6.118742,613190,1030696,420,420,0,5,20.277277,21.056858,4287,14,16,3,4,4,14,11,5,15,17,9,6,30,29,41,33,80,6,13,27,55,15,47,26,0,12,11,22,4,37,6,25558.451
Kyivska,UA_32,2012,6,0,0,0,0,0,0,0,0,0,0,204411,204411,0,0,0,0,1571,110,16,12,17,0,8,0,14,0,21,0,32,9,26,28,39,25,10,0,40,28,29,38,35,0,15,18,13,0,53,0,28131.504
Kyivska City,UA_30,2012,6,0,0,0,0,0,0,0,0,0,0,6093,6093,0,0,0,0,40403,1,38,22,32,8,35,15,27,27,35,35,32,8,22,47,21,38,18,44,47,56,56,37,55,17,71,18,67,13,51,44,834.25281
Luhanska,UA_09,2012,6,20346,20346,0,0,441,521,4.3226681,5.4625478,87949,111141,168516,168516,0,0,15.021337,16.947475,2927,60,23,5,12,6,12,17,19,4,12,4,8,14,14,22,9,48,23,4,27,51,35,51,38,0,11,0,12,0,21,0,26687.729
Lvivska,UA_46,2012,6,0,0,0,0,0,0,0,0,0,0,156720,156720,0,0,0,0,2164,14,29,14,19,12,19,0,19,20,14,8,13,9,18,41,23,51,13,27,32,32,62,29,36,5,30,22,50,0,56,18,21823.723
Mykolaivska,UA_48,2012,6,156094,156094,0,0,598,1183,2.8209732,6.3738389,440337,994918,8845,8845,0,5,13.962701,17.88682,1220,15,19,50,37,5,34,0,60,22,68,88,30,12,31,24,24,0,20,29,45,66,53,52,28,0,36,29,96,0,33,54,24015.756
Odeska,UA_51,2012,6,218346,218346,0,0,1060,1889,3.7554708,7.5436602,819992,1647128,7734,7734,0,5,23.298733,28.165836,7792,44,33,10,29,1,24,36,23,12,32,15,8,12,28,37,17,44,13,9,28,56,64,43,43,0,52,28,53,6,50,24,33347.504
Poltavska,UA_53,2012,6,0,0,0,0,0,0,0,0,0,0,206358,206358,0,0,0,0,714,52,39,9,14,0,31,12,14,19,7,12,0,14,19,35,16,35,25,33,23,52,14,51,22,12,41,0,20,0,45,0,28722.865
Rivnenska,UA_56,2012,6,0,0,0,0,0,0,0,0,0,0,148045,148045,0,0,0,0,261,20,34,21,17,0,56,72,21,0,13,0,0,9,25,32,53,68,0,18,18,45,65,30,29,0,100,0,41,40,49,0,20053.172
Sevastopilska,UA_40,2012,6,369,369,28,32,623,849,208.95935,230.43903,77106,85032,0,0,194,212,114.22678,128.28534,1120,1,15,18,10,0,14,0,4,0,20,9,0,13,41,20,9,0,5,9,19,34,13,15,9,0,21,0,18,0,26,0,57.44772
Sumska,UA_59,2012,6,0,0,0,0,0,0,0,0,0,0,176269,176269,0,0,0,0,232,38,19,0,0,0,22,0,4,13,4,9,9,7,30,19,9,0,0,0,31,24,62,41,50,0,54,0,12,34,36,0,23842.014
Ternopilska,UA_61,2012,6,0,0,0,0,0,0,0,0,0,0,98691,98691,0,0,0,0,359,18,28,4,0,8,36,0,5,9,0,0,9,23,18,21,14,0,18,3,8,31,28,41,33,8,37,0,37,0,21,0,13833.407
Vinnytska,UA_05,2012,6,26012,26012,0,0,199,199,3.776334,4.9469476,98230,128680,161208,161208,0,5,6.6559377,7.201993,569,38,20,0,5,2,8,74,5,0,0,0,9,13,38,25,40,48,9,5,45,18,59,84,40,0,24,0,12,0,26,0,26490.973
Volynska,UA_07,2012,6,0,0,0,0,0,0,0,0,0,0,149217,149217,0,0,0,0,149,14,44,14,20,0,14,0,15,0,36,0,0,12,34,73,4,0,0,10,14,28,27,28,18,0,16,22,0,0,29,0,20149.451
Zakarpatska,UA_21,2012,6,2266,2266,0,0,92,78,4.5776701,6.6932921,10373,15167,87002,87002,0,6,8.5870972,7.7329617,348,31,23,8,4,7,8,0,5,1,55,3,0,7,24,20,21,56,15,0,9,65,43,25,37,23,12,29,31,0,15,47,12758.455
Zaporizka,UA_23,2012,6,172985,172985,0,0,989,1406,3.7764661,7.6770935,653272,1328022,13121,13121,0,6,17.020214,22.711779,1973,48,38,7,17,0,30,7,20,7,23,0,12,14,31,33,12,34,15,4,34,26,36,42,25,7,30,13,30,0,59,37,27180.066
Zhytomyrska,UA_18,2012,6,0,0,0,0,0,0,0,0,0,0,218410,218410,0,0,0,0,363,23,17,10,1,0,11,0,11,0,8,0,0,6,32,8,4,10,10,29,33,56,29,23,8,0,9,0,20,88,17,0,29838.738
Cherkaska,UA_71,2012,7,149009,149009,0,0,1100,1293,2.0415545,4.8082128,304210,716467,19,19,0,5,11.780874,13.084621,826,57,20,13,6,5,13,35,10,30,12,0,14,14,32,22,17,62,0,0,51,54,54,57,34,0,38,0,25,13,27,0,20939.982
Chernihivska,UA_74,2012,7,221293,221293,0,0,868,1642,1.684572,4.5209837,372784,1000462,15768,15768,0,5,6.4029393,11.091326,847,45,14,16,14,11,21,0,20,7,31,0,21,6,34,55,14,0,34,100,26,69,10,75,29,58,60,0,22,8,54,11,31895.225
Chernivetska,UA_77,2012,7,56481,56481,0,0,736,1451,3.781785,5.9974327,213599,338741,2,2,0,5,16.14011,18.472418,559,11,31,4,5,0,6,0,0,0,25,12,27,6,35,41,58,26,35,0,24,17,31,34,5,0,39,0,58,0,38,0,8094.667
Dnipropetrovska,UA_12,2012,7,222769,222769,0,0,6371,4330,5.0878711,6.2737679,1133420,1397601,13,13,0,0,38.706806,34.663437,9425,96,37,8,12,6,21,14,20,8,17,33,9,10,20,58,28,42,17,22,35,57,37,41,37,21,30,0,37,5,45,41,31910.455
Donetska,UA_14,2012,7,184070,184070,0,0,17475,7154,8.0984459,9.6465425,1490681,1775639,5,5,0,5,63.455715,50.911514,7590,49,31,12,18,5,21,18,17,15,43,33,19,14,25,61,56,31,13,15,36,51,61,51,36,5,77,7,42,28,51,10,26499.604
Ivano-Frankivska,UA_26,2012,7,98037,98037,0,0,905,1334,1.9357997,3.2615237,189780,319750,13,13,0,0,13.069288,15.347623,376,88,30,20,0,8,20,0,5,19,8,7,41,5,30,41,3,20,6,16,10,48,16,38,34,29,29,56,23,53,23,40,13933.037
Kharkivska,UA_63,2012,7,225006,225006,0,0,12295,24813,3.6029038,5.6623735,810675,1274068,274,274,0,0,62.36578,120.59103,4449,37,29,18,13,7,21,33,18,17,31,30,13,12,29,23,26,37,8,16,47,60,49,57,42,8,48,18,34,27,50,5,31434.879
Khersonska,UA_65,2012,7,175159,175159,0,0,454,472,1.2635663,1.5626316,221325,273709,5362,5362,0,0,9.3479586,9.7540569,1006,40,15,15,15,5,24,0,6,12,12,29,0,13,28,51,18,15,23,23,50,40,31,66,30,0,30,11,18,36,29,0,26656.969
Khmelnytska,UA_68,2012,7,147346,147346,0,0,434,483,1.4395369,3.7739878,212110,556082,177,177,0,0,9.8523407,10.717186,291,19,2,0,5,0,5,0,26,0,4,35,59,7,10,7,6,0,18,19,40,6,52,10,19,0,29,23,100,0,28,0,20627.613
Kirovohradska,UA_35,2012,7,172169,172169,0,0,18104,24255,1.5691907,3.2577584,270166,560885,2,2,0,0,74.426476,61.001736,645,50,16,19,17,0,12,0,3,5,5,0,36,11,27,27,73,0,5,72,41,46,22,17,14,0,9,0,38,0,16,45,24577.918
Krym,UA_43,2012,7,168550,168550,0,0,713,805,2.8519251,3.2044911,480692,540117,319,319,0,0,17.205502,17.843817,5094,14,10,6,10,6,15,5,5,6,6,19,16,26,39,43,47,36,8,12,53,42,15,59,19,0,20,5,28,4,34,6,25558.451
Kyivska,UA_32,2012,7,201173,201173,0,0,2289,3586,3.337605,6.5571227,671436,1319116,3238,3238,0,5,20.034052,28.780457,1547,110,12,11,21,9,5,31,4,19,0,0,0,14,30,35,14,56,0,0,25,32,42,51,21,9,45,0,35,13,66,0,28131.504
Kyivska City,UA_30,2012,7,6037,6037,0,5,1257,2388,101.98376,124.36839,615676,750812,56,56,40,51,125.94427,167.31029,37712,1,37,19,45,7,41,6,36,30,39,36,30,8,23,48,25,35,13,40,47,71,60,35,48,24,78,25,67,14,49,32,834.25281
Luhanska,UA_09,2012,7,188857,188857,0,0,738,978,3.2635221,4.6265588,616339,873758,5,5,0,0,17.280088,18.178246,1739,60,17,2,11,4,10,16,18,21,21,7,8,12,21,17,23,94,14,4,24,53,29,35,34,0,17,18,15,28,23,20,26687.729
Lvivska,UA_46,2012,7,156248,156248,0,0,3520,1499,3.5617993,6.092577,556524,951953,472,472,0,5,28.245682,25.772409,2065,14,28,17,12,6,32,13,19,15,17,21,16,9,22,61,15,44,20,21,30,65,78,37,28,8,38,6,58,0,56,18,21823.723
Mykolaivska,UA_48,2012,7,164446,164446,0,0,524,562,1.9584241,2.7072899,322055,445203,493,493,0,0,12.879214,13.115289,1859,15,17,25,19,5,25,78,30,0,87,44,0,13,29,91,29,31,0,0,38,59,61,33,52,0,89,29,58,37,76,54,24015.756
Odeska,UA_51,2012,7,222671,222671,0,0,1130,1055,3.109179,3.8950109,692324,867306,3409,3409,0,0,21.561457,22.335506,9132,44,33,12,22,6,24,0,14,14,30,27,5,11,27,49,25,52,20,17,35,68,51,45,51,22,49,0,56,6,45,17,33347.504
Poltavska,UA_53,2012,7,205990,205990,0,0,2648,15625,2.7090831,5.304636,558044,1092702,368,368,0,0,29.991238,69.982948,749,52,32,18,7,12,31,12,10,6,18,0,0,11,21,18,10,36,34,11,21,72,25,63,38,0,31,18,28,35,55,11,28722.865
Rivnenska,UA_56,2012,7,141056,141056,0,0,519,883,.8194263,3.8605518,115585,544554,6989,6989,0,5,7.7827039,10.32658,214,20,31,31,25,18,98,0,41,94,63,61,63,13,32,18,93,0,10,18,37,49,24,48,14,0,67,0,21,0,45,0,20053.172
Sevastopilska,UA_40,2012,7,369,369,28,30,692,914,206.56911,213.49051,76224,78778,0,0,187,192,116.02138,120.50114,1536,1,7,0,18,2,9,25,4,4,4,0,0,12,25,12,4,9,4,0,11,38,23,23,8,22,35,0,20,0,30,0,57.44772
Sumska,UA_59,2012,7,174522,174522,0,0,1201,4676,1.2602136,3.4146411,219935,595930,1747,1747,0,0,13.766973,28.294802,125,38,21,5,5,0,12,10,4,4,0,18,0,18,30,25,18,17,9,6,12,47,47,35,18,51,26,0,55,0,33,0,23842.014
Ternopilska,UA_61,2012,7,98514,98514,0,0,795,516,1.2949429,3.1782589,127570,313103,177,177,0,0,9.0256605,9.1933088,384,18,25,0,12,15,28,9,18,18,59,0,0,19,15,5,7,0,9,1,12,31,27,25,16,8,34,4,46,0,26,0,13833.407
Vinnytska,UA_05,2012,7,187216,187216,0,0,433,4070,1.6131153,4.0444994,302001,757195,4,4,0,5,9.4547968,18.273249,730,38,20,6,5,0,14,0,5,0,23,0,4,9,29,30,30,21,16,0,22,28,53,50,14,5,17,0,22,66,19,0,26490.973
Volynska,UA_07,2012,7,111377,111377,0,0,270,332,.80161971,4.720355,89282,525739,37840,37840,0,5,6.5782781,8.4931269,361,14,27,7,20,9,25,0,44,10,46,0,13,8,31,40,11,0,0,0,41,67,64,28,9,0,38,0,22,14,20,0,20149.451
Zakarpatska,UA_21,2012,7,89261,89261,0,0,356,316,1.9382933,3.0299122,173014,270453,7,7,0,0,10.022848,10.728737,596,31,24,3,7,5,6,55,7,2,15,1,0,8,19,31,30,22,15,18,9,54,65,21,36,22,13,56,45,11,24,0,12758.455
Zaporizka,UA_23,2012,7,184467,184467,0,0,765,1636,2.6167607,3.2983081,482706,608429,1639,1639,0,0,16.531076,18.114264,3550,48,29,16,25,2,19,13,25,8,26,17,17,11,21,61,22,57,14,6,32,25,42,48,26,0,35,19,25,13,57,7,27180.066
Zhytomyrska,UA_18,2012,7,216832,216832,0,0,865,1143,.89387637,3.442241,193821,746388,1578,1578,0,0,7.8789592,10.624451,451,23,5,0,5,11,7,0,0,0,6,0,0,16,37,10,8,3,3,58,27,78,33,13,8,0,6,86,13,44,22,13,29838.738
Cherkaska,UA_71,2012,8,149028,149028,0,0,1008,757,1.4178946,2.4004014,211306,357727,0,0,0,0,9.9059753,9.4910879,904,57,17,5,5,0,19,30,12,0,35,96,35,11,35,27,43,71,9,23,40,46,21,43,39,0,37,0,27,0,44,0,20939.982
Chernihivska,UA_74,2012,8,237054,237054,0,0,485,638,.25001898,.72778356,59268,172524,7,7,0,0,3.7332563,5.2005725,1115,45,21,8,21,0,16,0,30,7,20,100,21,23,28,40,7,0,0,0,0,55,20,33,47,0,39,0,33,0,41,0,31895.225
Chernivetska,UA_77,2012,8,56483,56483,0,0,697,773,2.7968946,4.0753856,157977,230190,0,0,0,0,14.420815,14.897278,538,11,14,8,4,0,5,0,5,0,7,0,0,11,37,20,10,11,20,16,42,34,13,32,17,20,58,0,40,15,33,0,8094.667
Dnipropetrovska,UA_12,2012,8,222775,222775,0,0,6102,8045,4.5670967,5.862278,1017435,1305969,7,7,0,0,36.422283,46.592758,11418,96,27,21,18,2,15,8,16,4,27,27,11,15,18,48,25,33,15,14,32,46,39,46,42,14,38,5,42,39,53,21,31910.455
Donetska,UA_14,2012,8,184061,184061,0,0,13652,11705,6.7959318,8.6698971,1250866,1595790,14,14,0,5,48.228752,45.670052,7593,49,33,16,16,9,17,6,19,13,29,19,39,14,22,59,65,34,12,13,38,43,50,58,32,2,63,7,41,24,55,17,26499.604
Ivano-Frankivska,UA_26,2012,8,98050,98050,0,0,633,667,1.6674145,2.623019,163490,257187,0,0,0,0,10.609182,11.052468,496,88,20,9,6,0,27,0,2,6,7,0,18,9,30,31,3,12,0,29,20,34,15,56,9,0,37,25,21,0,27,0,13933.037
Kharkivska,UA_63,2012,8,225276,225276,0,0,10353,13191,3.1156893,3.9142563,701890,881788,4,4,0,0,60.528938,46.567844,4744,37,31,13,11,5,28,6,16,18,32,14,18,15,28,37,18,76,14,15,44,57,64,54,48,10,38,17,32,20,50,15,31434.879
Khersonska,UA_65,2012,8,175133,175133,0,0,404,416,1.1291418,1.741802,197750,305047,5388,5388,0,0,8.6231604,9.4011335,1566,40,9,11,17,0,20,0,13,4,0,21,27,14,21,58,26,22,33,0,41,44,45,55,12,18,46,0,26,26,28,47,26656.969
Khmelnytska,UA_68,2012,8,147520,147520,0,0,397,400,1.0917096,1.6028539,161049,236453,3,3,0,0,8.6359148,9.2032843,307,19,3,46,3,1,4,0,24,85,2,32,27,13,13,7,3,0,51,18,55,6,36,11,24,0,19,22,92,1,29,72,20627.613
Kirovohradska,UA_35,2012,8,172171,172171,0,0,6249,7580,1.1080728,2.1646562,190778,372691,0,0,0,0,18.237928,20.01314,1026,50,15,17,12,0,16,5,6,0,14,5,31,9,25,26,32,14,19,0,31,41,6,30,6,0,31,0,22,0,26,39,24577.918
Krym,UA_43,2012,8,168536,168536,0,0,2347,2883,2.8856149,3.6577704,486330,616466,333,333,0,0,17.69342,19.525869,6484,14,11,5,4,2,14,14,4,23,7,0,10,28,38,52,30,100,12,19,47,38,14,54,40,0,23,5,26,3,32,5,25558.451
Kyivska,UA_32,2012,8,204360,204360,0,0,8401,10629,2.8518693,4.5943189,582808,938895,51,51,0,0,37.248001,70.369972,1721,110,7,10,10,18,17,0,8,0,0,62,0,11,30,39,34,11,18,0,29,24,30,37,25,0,39,0,45,24,43,12,28131.504
Kyivska City,UA_30,2012,8,6093,6093,0,5,1472,1648,97.146233,107.90103,591912,657441,0,0,37,44,125.53387,135.74179,38954,1,33,19,39,7,39,18,31,28,36,22,34,9,24,53,26,38,16,37,46,62,65,40,59,19,70,20,61,13,61,39,834.25281
Luhanska,UA_09,2012,8,188861,188861,0,0,1391,890,2.5262177,3.6030307,477104,680472,1,1,0,0,14.462802,14.422385,1641,60,22,4,12,0,8,14,6,0,10,0,3,13,24,29,8,41,12,3,34,58,16,51,28,5,15,0,16,0,24,0,26687.729
Lvivska,UA_46,2012,8,156694,156694,0,0,4616,2598,3.0159483,4.0387568,472581,632849,26,26,0,0,28.778236,25.318838,3250,14,23,28,14,15,28,12,19,24,17,28,19,13,22,55,16,34,21,14,40,48,46,37,36,3,25,8,58,18,53,17,21823.723
Mykolaivska,UA_48,2012,8,164454,164454,0,0,478,612,1.7144977,2.5882983,281956,425656,485,485,0,0,11.235244,12.598866,1709,15,30,23,25,9,23,0,55,20,35,80,0,13,41,61,26,84,9,0,52,56,63,66,17,0,43,0,35,34,41,99,24015.756
Odeska,UA_51,2012,8,222743,222743,0,0,1065,1125,2.7743273,3.8973482,617962,868107,3337,3337,0,0,19.27515,20.549185,10179,44,34,13,17,4,21,50,8,26,33,31,26,14,29,41,25,52,20,16,32,51,52,54,50,0,37,32,62,10,44,46,33347.504
Poltavska,UA_53,2012,8,206347,206347,0,0,1764,1858,2.2266328,3.4164732,459459,704979,11,11,0,0,19.395941,21.484621,786,52,33,28,3,4,26,0,20,7,18,36,29,13,36,34,26,24,9,0,32,50,17,36,38,13,43,0,16,36,54,0,28722.865
Rivnenska,UA_56,2012,8,147992,147992,0,0,318,372,.53369778,.96114653,78983,142242,53,53,0,0,6.1095009,6.9402041,271,20,29,10,16,8,53,0,20,71,60,0,30,11,32,47,21,64,10,17,58,50,62,62,48,30,89,0,49,0,49,0,20053.172
Sevastopilska,UA_40,2012,8,369,369,21,21,730,1017,198.43903,210.35231,73224,77620,0,0,179,190,109.23386,122.99789,1514,1,9,0,16,2,10,0,4,4,4,4,0,22,31,23,11,4,16,0,15,21,10,33,15,19,17,0,11,11,29,100,57.44772
Sumska,UA_59,2012,8,176262,176262,0,0,885,2568,.7771613,1.4932657,136984,263206,7,7,0,0,8.8498545,14.010923,760,38,14,5,0,3,9,18,8,8,8,8,8,10,18,52,16,8,16,0,15,40,62,57,34,47,28,8,34,30,46,0,23842.014
Ternopilska,UA_61,2012,8,98690,98690,0,0,282,701,.97140539,1.5824907,95868,156176,1,1,0,0,6.6923394,7.5799723,489,18,21,12,22,21,13,0,8,17,8,46,8,17,17,17,6,0,16,0,18,25,25,67,15,0,44,4,50,0,33,0,13833.407
Vinnytska,UA_05,2012,8,187220,187220,0,0,416,463,1.076808,1.793489,201600,335777,0,0,0,0,8.1612988,8.6597834,1051,38,25,6,9,0,12,31,4,0,18,0,0,11,45,11,34,59,15,4,37,29,60,75,17,0,23,0,30,62,28,51,26490.973
Volynska,UA_07,2012,8,149201,149201,0,0,246,259,.42385104,.713018,63239,106383,16,16,0,0,5.0444803,5.8421335,250,14,42,0,12,15,36,0,66,0,25,0,0,17,31,60,7,0,0,0,12,61,49,60,25,0,25,0,13,0,50,0,20149.451
Zakarpatska,UA_21,2012,8,89268,89268,0,0,290,292,1.9491531,2.9587646,173997,264123,0,0,0,0,8.5360289,8.8830175,866,31,27,2,5,4,6,0,8,1,49,0,37,7,24,27,47,40,18,67,17,55,63,25,50,0,10,0,49,0,24,0,12758.455
Zaporizka,UA_23,2012,8,184456,184456,0,0,1544,728,2.291934,3.135344,422761,578333,1650,1650,0,0,15.472744,16.311459,3473,48,28,11,24,6,22,17,7,11,15,15,21,14,30,40,19,34,18,8,24,23,40,51,43,2,31,6,23,3,70,0,27180.066
Zhytomyrska,UA_18,2012,8,218370,218370,0,0,639,635,.5108211,.9477126,111548,206952,40,40,0,0,6.0073609,7.0050287,227,23,28,3,5,0,7,52,0,0,8,0,0,12,37,14,2,10,6,0,16,58,21,15,7,0,13,21,19,0,23,0,29838.738
Cherkaska,UA_71,2012,9,149017,149017,0,0,585,522,1.3617238,2.3993235,202920,357540,11,11,0,0,8.572216,9.3768721,1422,57,31,30,12,13,32,0,15,8,7,91,33,13,30,20,21,61,8,0,26,33,30,100,50,10,37,10,41,10,43,0,20939.982
Chernihivska,UA_74,2012,9,237056,237056,0,0,498,623,.24917741,.55525279,59069,131626,5,5,0,0,3.8313742,4.8650103,1220,45,29,0,25,28,54,0,27,6,27,30,0,18,25,42,0,0,15,44,27,46,27,59,25,51,46,0,29,0,28,0,31895.225
Chernivetska,UA_77,2012,9,56482,56482,0,0,619,741,2.6866081,4.5532913,151745,257179,1,1,0,0,14.197335,15.294944,932,11,61,7,21,4,9,9,9,17,9,0,10,9,19,45,17,24,17,7,24,27,29,72,22,9,37,0,34,0,20,0,8094.667
Dnipropetrovska,UA_12,2012,9,222760,222760,0,0,13566,14812,5.077909,6.113225,1131155,1361782,22,22,0,0,80.382401,90.463615,17042,96,56,21,18,6,33,31,25,13,30,8,32,15,17,45,24,44,19,15,39,29,29,67,46,6,24,27,40,13,60,48,31910.455
Donetska,UA_14,2012,9,184051,184051,0,0,4918,3365,7.2180429,7.8298407,1328488,1441090,24,24,0,0,43.477886,37.892319,8082,49,48,19,29,5,39,45,20,11,48,46,28,16,28,69,37,54,24,11,46,31,45,68,47,10,89,7,36,25,63,7,26499.604
Ivano-Frankivska,UA_26,2012,9,98050,98050,0,0,344,332,1.5163896,2.8980725,148682,284156,0,0,0,0,9.2239895,9.7043877,457,88,36,9,12,7,18,0,3,6,17,12,18,12,28,30,4,6,22,5,18,20,21,60,13,0,26,100,23,0,30,35,13933.037
Kharkivska,UA_63,2012,9,225278,225278,0,0,6814,6077,2.8458838,3.5012429,641115,788753,2,2,0,0,38.555347,35.355965,6683,37,48,18,28,7,51,22,12,15,19,25,24,16,25,35,25,62,12,20,62,52,54,87,43,8,39,15,31,27,58,22,31434.879
Khersonska,UA_65,2012,9,174971,174971,0,0,478,479,1.1549513,1.7727338,202083,310177,5550,5550,0,0,9.1173019,9.6350346,1207,40,21,0,22,0,31,0,10,0,21,0,0,12,27,54,10,18,20,13,29,37,56,85,24,0,12,7,24,0,25,0,26656.969
Khmelnytska,UA_68,2012,9,147510,147510,0,0,392,407,1.1330147,2.2235441,167131,327995,13,13,0,0,8.6430407,9.4226522,402,19,6,42,3,0,3,40,33,19,2,29,0,11,12,4,5,0,23,0,42,6,65,16,33,0,13,40,42,0,28,0,20627.613
Kirovohradska,UA_35,2012,9,172168,172168,0,0,1852,7549,1.0425746,2.0967369,179498,360991,3,3,0,0,9.9997253,19.906263,1117,50,37,0,0,0,19,5,0,5,10,0,0,16,33,12,17,10,5,33,28,18,33,31,13,0,11,0,23,0,27,0,24577.918
Krym,UA_43,2012,9,168517,168517,0,0,4354,4774,2.9576778,3.4834824,498419,587026,352,352,0,0,23.491819,25.187107,2869,14,25,11,7,6,36,25,6,11,20,11,20,32,41,59,10,81,13,9,40,33,18,70,45,5,18,5,35,4,47,11,25558.451
Kyivska,UA_32,2012,9,203924,203924,0,0,17841,19810,3.3936713,5.752089,692051,1172989,487,487,0,0,90.728027,119.59989,1924,110,52,0,27,8,30,0,11,8,22,28,0,14,40,35,18,10,0,9,39,27,27,66,27,8,35,0,10,0,51,0,28131.504
Kyivska City,UA_30,2012,9,5948,5948,0,0,1345,2983,93.269836,108.06187,554769,642752,145,145,39,47,117.32285,147.96223,51724,1,58,30,51,7,57,15,36,31,42,37,26,11,23,50,24,34,20,51,57,48,58,62,67,19,61,25,64,17,59,60,834.25281
Luhanska,UA_09,2012,9,188860,188860,0,0,1402,682,2.5673039,2.9898443,484861,564662,2,2,0,0,14.501754,14.685494,1500,60,40,2,7,8,17,12,43,6,17,3,11,16,21,27,8,69,7,11,32,45,17,55,30,4,10,0,36,20,19,0,26687.729
Lvivska,UA_46,2012,9,156718,156718,0,0,13032,16178,3.0959623,4.5475378,485193,712681,2,2,0,0,55.258617,74.881737,2482,14,46,29,27,6,45,18,23,12,18,20,15,16,21,50,18,33,22,8,32,41,53,56,35,2,36,34,54,17,53,6,21823.723
Mykolaivska,UA_48,2012,9,164392,164392,0,0,570,732,1.7181189,2.7618496,282445,454026,547,547,0,0,11.289421,12.493066,1460,15,82,0,55,4,79,100,77,10,33,37,25,13,26,53,29,53,17,25,16,40,52,92,61,0,71,24,41,32,44,0,24015.756
Odeska,UA_51,2012,9,222480,222480,0,0,981,992,2.6538429,3.832232,590427,852595,3600,3600,0,0,18.659628,20.629528,9754,44,53,16,21,6,38,51,18,8,25,25,31,14,26,44,29,53,19,18,42,37,54,74,61,28,42,16,69,16,57,37,33347.504
Poltavska,UA_53,2012,9,206336,206336,0,0,1970,2094,2.0914674,2.8015471,431545,578060,22,22,0,0,19.245947,20.757498,1133,52,46,9,13,30,39,17,0,25,27,34,14,18,20,30,15,11,0,32,14,41,32,89,36,0,17,17,19,0,42,0,28722.865
Rivnenska,UA_56,2012,9,148031,148031,0,0,291,325,.49549755,1.2585404,73349,186303,14,14,0,0,5.6736355,6.816462,253,20,64,0,34,0,66,60,17,46,31,50,0,17,45,26,26,93,0,44,25,28,60,90,24,26,99,86,60,0,48,0,20053.172
Sevastopilska,UA_40,2012,9,369,369,12,26,716,812,214.16801,224.53659,79028,82854,0,0,197,204,120.28085,128.54865,1255,1,20,11,21,2,31,72,19,4,21,4,3,12,30,26,24,9,4,4,13,15,15,36,8,61,28,43,11,36,25,35,57.44772
Sumska,UA_59,2012,9,176263,176263,0,0,1280,2830,.73777252,1.0920954,130042,192496,6,6,0,0,9.5816031,14.627662,496,38,25,4,12,5,12,8,11,0,7,7,7,21,19,21,15,14,7,0,12,25,17,47,50,0,43,7,25,27,24,0,23842.014
Ternopilska,UA_61,2012,9,98691,98691,0,0,298,319,.96368462,1.9596822,95107,193403,0,0,0,0,6.7166686,7.1530662,379,18,42,3,13,12,31,0,14,15,20,40,7,28,23,13,0,25,14,0,13,34,25,95,19,0,44,3,36,0,24,0,13833.407
Vinnytska,UA_05,2012,9,187219,187219,0,0,400,440,1.1837901,2.3663304,221628,443022,1,1,0,0,8.2029457,8.791007,593,38,18,4,15,3,10,31,4,5,14,18,4,13,46,25,45,100,15,4,44,26,38,99,41,5,29,0,20,0,20,51,26490.973
