name,reg,year,month,nl_count_0,nl_count_4,nl_min_0,nl_min_4,nl_max_0,nl_max_4,nl_mean_0,nl_mean_4,nl_sum_0,nl_sum_4,nl_nodata_0,nl_nodata_4,nl_median_0,nl_median_4,nl_std_0,nl_std_4,tw_count,tw_n_settlements,Labor_index,Unemployment_index,Investment_index,Loan_index,Economy_index,Interest_rate_index,Inflation_index,Bankruptcy_index,Export_index,Mortgage_loan_index,Baggage_index,Holiday_index,BMW_index,Mercedes_index,McDonalds_index,Calvin_Klein_index,Gucci_index,Emigration_index,Washing_machine_index,Fridge_index,Sony_index,apple_index,Fitness_index,Recruitment_index,Travel_index,Savings_index,Computer_security_index,Unemployment_benefits_index,Fashion_index,MBA_degree_index,area_sq_km
Cherkaska,UA_71,2010,2,,,,,,,,,,,,,,,,,0,57,52,40,18,0,14,0,0,32,27,0,0,8,26,100,0,79,0,0,60,0,53,41,0,0,17,0,81,0,77,0,20939.982
Chernihivska,UA_74,2010,2,,,,,,,,,,,,,,,,,0,45,47,0,0,0,41,100,100,0,51,0,0,4,14,0,34,0,82,0,25,0,51,67,47,0,0,0,0,0,31,0,31895.225
Chernivetska,UA_77,2010,2,,,,,,,,,,,,,,,,,0,11,25,0,0,0,17,0,0,0,0,100,0,0,10,30,0,0,0,0,0,29,0,29,0,0,0,0,0,0,43,0,8094.667
Dnipropetrovska,UA_12,2010,2,,,,,,,,,,,,,,,,,0,96,95,48,79,14,72,0,29,16,100,35,0,16,20,67,8,32,0,23,15,34,56,19,47,0,15,0,86,56,69,0,31910.455
Donetska,UA_14,2010,2,,,,,,,,,,,,,,,,,0,49,68,22,49,11,64,46,88,75,37,0,0,16,24,38,31,43,46,40,42,24,21,24,32,18,37,0,21,0,84,25,26499.604
Ivano-Frankivska,UA_26,2010,2,,,,,,,,,,,,,,,,,0,88,100,0,39,0,66,0,0,0,45,0,0,5,15,40,0,0,0,0,41,0,25,0,0,0,100,0,0,0,100,0,13933.037
Kharkivska,UA_63,2010,2,,,,,,,,,,,,,,,,,0,37,49,44,44,0,100,0,14,21,15,100,43,12,16,28,0,41,0,36,20,44,45,49,31,20,35,0,0,0,46,0,31434.879
Khersonska,UA_65,2010,2,,,,,,,,,,,,,,,,,0,40,22,0,0,0,27,0,0,0,49,0,0,25,62,57,0,0,90,0,49,57,97,40,100,0,100,0,47,0,15,0,26656.969
Khmelnytska,UA_68,2010,2,,,,,,,,,,,,,,,,,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,100,0,0,0,0,0,0,0,0,20627.613
Kirovohradska,UA_35,2010,2,,,,,,,,,,,,,,,,,0,50,100,0,0,0,0,0,0,76,76,0,0,47,0,0,0,0,0,0,73,39,51,0,49,0,42,0,0,0,0,0,24577.918
Krym,UA_43,2010,2,,,,,,,,,,,,,,,,,0,14,46,57,16,0,68,0,23,0,75,0,0,8,38,35,0,0,52,0,34,69,0,24,47,0,0,100,0,0,31,0,25558.451
Kyivska,UA_32,2010,2,,,,,,,,,,,,,,,,,0,110,23,0,100,0,0,0,0,0,61,0,0,12,0,0,0,0,0,0,49,22,100,41,100,0,43,0,0,0,35,0,28131.504
Kyivska City,UA_30,2010,2,,,,,,,,,,,,,,,,,0,1,80,55,73,9,92,11,72,60,76,30,13,8,21,49,20,31,19,68,52,37,100,29,64,7,57,24,92,0,92,67,834.25281
Luhanska,UA_09,2010,2,,,,,,,,,,,,,,,,,0,60,100,0,0,0,31,0,0,0,100,0,0,5,0,34,51,0,0,0,0,0,0,38,41,0,25,0,0,0,100,0,26687.729
Lvivska,UA_46,2010,2,,,,,,,,,,,,,,,,,0,14,95,38,39,0,76,0,55,39,39,66,0,9,24,72,0,0,0,23,46,30,60,20,9,7,19,44,48,0,81,93,21823.723
Mykolaivska,UA_48,2010,2,,,,,,,,,,,,,,,,,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24015.756
Odeska,UA_51,2010,2,,,,,,,,,,,,,,,,,0,44,62,55,62,8,55,0,58,50,69,0,0,13,38,37,8,38,63,27,7,39,74,35,100,0,41,0,51,53,84,53,33347.504
Poltavska,UA_53,2010,2,,,,,,,,,,,,,,,,,0,52,64,0,50,0,68,44,36,95,26,0,0,9,13,19,0,0,0,0,46,45,31,0,55,0,12,0,59,0,54,0,28722.865
Rivnenska,UA_56,2010,2,,,,,,,,,,,,,,,,,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20053.172
Sevastopilska,UA_40,2010,2,,,,,,,,,,,,,,,,,0,1,26,71,78,0,100,0,0,76,0,0,0,9,25,41,0,0,0,0,0,32,0,0,37,0,0,0,0,0,78,0,57.44772
Sumska,UA_59,2010,2,,,,,,,,,,,,,,,,,0,38,12,0,22,0,72,0,0,38,38,0,0,15,14,0,0,0,0,0,0,0,0,76,0,0,76,0,0,0,100,0,23842.014
Ternopilska,UA_61,2010,2,,,,,,,,,,,,,,,,,0,18,0,0,46,0,40,0,51,0,0,0,0,15,10,46,0,0,100,0,0,34,51,0,0,0,95,0,0,0,23,0,13833.407
Vinnytska,UA_05,2010,2,,,,,,,,,,,,,,,,,0,38,65,0,56,0,100,0,0,0,0,0,0,9,58,0,0,0,0,0,0,0,0,75,0,0,74,0,0,0,32,0,26490.973
Volynska,UA_07,2010,2,,,,,,,,,,,,,,,,,0,14,40,0,99,0,35,0,0,0,44,0,0,11,0,0,0,0,0,100,100,54,44,0,0,97,0,0,70,0,70,0,20149.451
Zakarpatska,UA_21,2010,2,,,,,,,,,,,,,,,,,0,31,0,0,0,0,0,0,100,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,12758.455
Zaporizka,UA_23,2010,2,,,,,,,,,,,,,,,,,0,48,89,43,0,0,57,86,52,57,100,76,0,13,17,26,20,86,0,0,100,42,22,30,100,0,68,0,95,0,88,0,27180.066
